num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2025S003700;12/01/2025;11:20:00;CALL. VIA DE DUBLIN, 14;14;21;BARAJAS;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;2;Ingreso inferior o igual a 24 horas;448097;4480013;N;
2025S004141;14/01/2025;14:35:00;PASEO. CASTELLANA / AVDA. MONFORTE DE LEMOS;278;5;CHAMARTÍN;Colisión lateral;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;441773;4480716;N;
2025S004236;14/01/2025;15:50:00;AVDA. POBLADOS, 41;41;10;LATINA;Caída;Despejado;Bicicleta;Conductor;De 70 a 74 años;Hombre;1;Atención en urgencias sin posterior ingreso;435429;4470747;N;
2025S004480;15/01/2025;10:11:00;CALL. CEBREROS, 56;56;10;LATINA;Colisión lateral;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;1;Atención en urgencias sin posterior ingreso;436561;4472928;N;
2025S004533;15/01/2025;15:30:00;CALL. LOS YEBENES / CALL. VALMOJADO;6;10;LATINA;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;435791;4472208;N;
2025S004585;15/01/2025;16:30:00;PASEO. MORET, 3;3;9;MONCLOA-ARAVACA;Colisión lateral;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;;;438702;4476140;N;
2025S004604;15/01/2025;17:06:00;CALL. GAZTAMBIDE / CALL. RODRIGUEZ SAN PEDRO;13;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439294;4475939;N;
2025S005101;16/01/2025;11:35:00;CALL. RAMON GOMEZ DE LA SERNA, 42;42;8;FUENCARRAL-EL PARDO;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Mujer;2;Ingreso inferior o igual a 24 horas;438343;4481538;N;
2025S005115;16/01/2025;13:55:00;CALL. SANTA ENGRACIA, 111;111;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;1;Atención en urgencias sin posterior ingreso;440630;4476578;N;
2025S005653;17/01/2025;17:10:00;CALL. SELMA LAGERLOFF, 14;14;17;VILLAVERDE;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;;;441578;4467296;N;
